"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLatitude","decimalLongitude","continent","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","elevation","elevationAccuracy","preparations","type","locality"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.122762,129.081171,"ASIA","Busan",2024,3,1,"cdc,cdround","https://www.inaturalist.org/observations/200889964","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4535673895","200889964",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.017326,129.059994,"ASIA","Busan",2024,3,1,"cdc,cdround","https://www.inaturalist.org/observations/200889991","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4535640907","200889991",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.105737,129.056561,"ASIA","Busan",2024,3,1,"cdc,cdround","https://www.inaturalist.org/observations/200890004","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4535665985","200890004",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.042897,129.030187,"ASIA","Busan",2024,3,1,"cdc,cdround","https://www.inaturalist.org/observations/200890032","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4535942948","200890032",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.193816,129.114495,"ASIA","Busan",2024,3,1,"cdc,cdround","https://www.inaturalist.org/observations/200890045","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4535658941","200890045",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.169323,129.123322,"ASIA","Busan",2024,3,1,"cdc,cdround","https://www.inaturalist.org/observations/200890053","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4535696941","200890053",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.000626,129.063213,NA,"Busan",2024,3,1,"cdround","https://www.inaturalist.org/observations/200890061","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4535909885","200890061",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.036306,129.111274,"ASIA","Busan",2024,3,1,"cdc,cdround","https://www.inaturalist.org/observations/200890070","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4535674978","200890070",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.069812,129.161723,"ASIA","Busan",2024,3,1,"cdc,cdround","https://www.inaturalist.org/observations/200890080","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4535651906","200890080",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.175556,129.138584,"ASIA","Busan",2024,3,1,"cdc,cdround","https://www.inaturalist.org/observations/200890089","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4535897904","200890089",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.037235,129.036114,"ASIA","Busan",2024,3,1,"cdc,cdround","https://www.inaturalist.org/observations/200890108","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4535695938","200890108",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.196391,129.177082,"ASIA","Busan",2024,3,1,"cdc,cdround","https://www.inaturalist.org/observations/200890117","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4535636950","200890117",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.089967,129.037826,"ASIA","Busan",2024,3,1,"cdc,cdround","https://www.inaturalist.org/observations/200890122","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4535654975","200890122",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.131911,129.142489,"ASIA","Busan",2024,3,1,"cdc,cdround","https://www.inaturalist.org/observations/200890133","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4535698970","200890133",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.068963,129.130158,"ASIA","Busan",2024,3,1,"cdc,cdround","https://www.inaturalist.org/observations/200890141","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4535917960","200890141",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.145033,129.067283,"ASIA","Busan",2024,3,1,"cdc,cdround","https://www.inaturalist.org/observations/200890157","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4535907953","200890157",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.130576,129.00727,"ASIA","Busan",2024,3,1,"cdc,cdround","https://www.inaturalist.org/observations/200890160","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4535693926","200890160",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.032049,129.122627,"ASIA","Busan",2024,3,1,"cdc,cdround","https://www.inaturalist.org/observations/200890186","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4535946900","200890186",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.090215,129.025645,"ASIA","Busan",2024,3,1,"cdc,cdround","https://www.inaturalist.org/observations/200890192","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4535684980","200890192",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.049215,129.002405,"ASIA","Busan",2024,3,1,"cdc,cdround","https://www.inaturalist.org/observations/200890208","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4535932915","200890208",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.17377,129.115575,"ASIA","Busan",2024,3,1,"cdc,cdround","https://www.inaturalist.org/observations/200890217","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4535921871","200890217",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.159532,129.13615,"ASIA","Busan",2024,3,1,"cdc,cdround","https://www.inaturalist.org/observations/200890229","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4535930926","200890229",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.101952,129.130895,"ASIA","Busan",2024,3,1,"cdc,cdround","https://www.inaturalist.org/observations/200890241","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4535655998","200890241",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.10368,129.001109,"ASIA","Busan",2024,3,1,"cdc,cdround","https://www.inaturalist.org/observations/200890254","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4535929989","200890254",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.137054,129.100759,"ASIA","Busan",2024,3,1,"cdc,cdround","https://www.inaturalist.org/observations/200890265","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4535943969","200890265",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.13499,129.012395,"ASIA","Busan",2024,3,1,"cdc,cdround","https://www.inaturalist.org/observations/200890276","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4535658942","200890276",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.181419,129.174254,"ASIA","Busan",2024,3,1,"cdc,cdround","https://www.inaturalist.org/observations/200890286","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4535896917","200890286",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.143122,129.123396,"ASIA","Busan",2024,3,1,"cdc,cdround","https://www.inaturalist.org/observations/200890317","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4535925922","200890317",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.161731,129.113599,"ASIA","Busan",2024,3,1,"cdc,cdround","https://www.inaturalist.org/observations/200890322","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4535698972","200890322",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.066589,129.126167,"ASIA","Busan",2024,3,1,"cdc,cdround","https://www.inaturalist.org/observations/200890335","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4535699966","200890335",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.191477,129.070186,"ASIA","Busan",2024,3,1,"cdc,cdround","https://www.inaturalist.org/observations/200890362","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4535934964","200890362",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.396486,129.03351,"ASIA","Gyeongsangnam-do",2024,3,17,"cdc,cdround","https://www.inaturalist.org/observations/202775387","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4597088810","202775387",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.221577,129.086374,"ASIA","Gyeongsangnam-do",2024,3,17,"cdc,cdround","https://www.inaturalist.org/observations/202775571","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4597082855","202775571",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.222189,129.067407,"ASIA","Gyeongsangnam-do",2024,3,17,"cdc,cdround","https://www.inaturalist.org/observations/202775588","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4597574864","202775588",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.321286,129.150358,"ASIA","Gyeongsangnam-do",2024,3,17,"cdc,cdround","https://www.inaturalist.org/observations/202775632","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4597079770","202775632",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.325874,129.184733,"ASIA","Gyeongsangnam-do",2024,3,17,"cdc,cdround","https://www.inaturalist.org/observations/202789795","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4597066933","202789795",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.325965,129.070472,"ASIA","Gyeongsangnam-do",2024,3,17,"cdc,cdround","https://www.inaturalist.org/observations/202789844","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4597542871","202789844",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.391158,129.081492,"ASIA","Gyeongsangnam-do",2024,3,17,"cdc,cdround","https://www.inaturalist.org/observations/202789931","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4597111748","202789931",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.207486,129.03812,"ASIA","Gyeongsangnam-do",2024,3,17,"cdc,cdround","https://www.inaturalist.org/observations/202790040","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4597082896","202790040",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.30385,129.117632,"ASIA","Gyeongsangnam-do",2024,4,27,"cdc,cdround","https://www.inaturalist.org/observations/209997668","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4852067878","209997668",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.042087,129.1386,"ASIA","Busan",2024,6,15,"cdc,cdround","https://www.inaturalist.org/observations/223954485","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4901656640","223954485",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.433053,129.149763,"ASIA","Gyeongsangnam-do",2023,4,8,"cdc,cdround","https://www.inaturalist.org/observations/153894142","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4091408576","153894142",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.538568,129.06193,"ASIA","Gyeongsangnam-do",2023,4,8,"cdc,cdround","https://www.inaturalist.org/observations/153894465","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4091599569","153894465",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.429282,129.002651,"ASIA","Gyeongsangnam-do",2023,4,8,"cdc,cdround","https://www.inaturalist.org/observations/153894576","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4145421543","153894576",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius yangi",35.306664,129.171459,"ASIA","Gyeongsangnam-do",2023,4,17,"cdc,cdround","https://www.inaturalist.org/observations/155338277","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4407073487","155338277",NA,NA,NA,NA,NA
